No.,Time,Source,Destination,Protocol,Length,Info
93,3.210687,192.168.1.108,192.168.1.181,TCP,66,2869 > 34158 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50666 TSecr=353568660
94,3.222759,192.168.1.181,192.168.1.108,TCP,66,34157 > 2869 [ACK] Seq=1691 Ack=127 Win=14600 Len=0 TSval=353568662 TSecr=50664
95,3.225369,192.168.1.181,192.168.1.108,TCP,66,"34157 > 2869 [FIN, ACK] Seq=1691 Ack=127 Win=14600 Len=0 TSval=353568662 TSecr=50664"
96,3.225418,192.168.1.108,192.168.1.181,TCP,66,2869 > 34157 [ACK] Seq=127 Ack=1692 Win=66560 Len=0 TSval=50668 TSecr=353568662
97,3.230784,192.168.1.181,192.168.1.108,TCP,74,34159 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568662 TSecr=0 WS=2
98,3.230931,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34159 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50668 TSecr=353568662"
99,3.233036,192.168.1.181,192.168.1.108,TCP,66,34159 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568663 TSecr=50668
100,3.246853,192.168.1.181,192.168.1.108,TCP,74,34160 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568664 TSecr=0 WS=2
101,3.246974,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34160 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50670 TSecr=353568664"
102,3.248709,192.168.1.181,192.168.1.108,TCP,66,34160 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568664 TSecr=50670
103,3.253135,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
104,3.266733,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
105,3.267717,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/edabcquqlg HTTP/1.1 
106,3.267775,192.168.1.108,192.168.1.181,TCP,66,2869 > 34159 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50672 TSecr=353568666
107,3.267968,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
108,3.270366,192.168.1.181,192.168.1.108,TCP,66,34159 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568666 TSecr=50672
109,3.270417,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34159 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50672 TSecr=353568666"
110,3.284282,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/eqtgyiqumt HTTP/1.1 
111,3.284352,192.168.1.108,192.168.1.181,TCP,66,2869 > 34160 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50673 TSecr=353568665
112,3.284496,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
113,3.286866,192.168.1.181,192.168.1.108,TCP,66,34160 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568668 TSecr=50673
114,3.286917,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34160 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50674 TSecr=353568668"
115,3.295832,192.168.1.181,192.168.1.108,TCP,66,"34160 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568669 TSecr=50674"
116,3.2959,192.168.1.108,192.168.1.181,TCP,66,2869 > 34160 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50675 TSecr=353568669
117,3.301187,192.168.1.181,192.168.1.108,TCP,74,34161 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568669 TSecr=0 WS=2
118,3.301367,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34161 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50675 TSecr=353568669"
119,3.303426,192.168.1.181,192.168.1.108,TCP,66,34161 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568670 TSecr=50675
120,3.303892,192.168.1.181,192.168.1.108,TCP,66,34159 > 2869 [ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568670 TSecr=50672
121,3.30694,192.168.1.181,192.168.1.108,TCP,66,"34159 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568670 TSecr=50672"
122,3.306997,192.168.1.108,192.168.1.181,TCP,66,2869 > 34159 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50676 TSecr=353568670
123,3.312773,192.168.1.181,192.168.1.108,TCP,74,34162 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568671 TSecr=0 WS=2
124,3.312906,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34162 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50676 TSecr=353568671"
125,3.314693,192.168.1.181,192.168.1.108,TCP,66,34162 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568671 TSecr=50676
126,3.326213,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
127,3.327252,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/sjvizmxepc HTTP/1.1 
128,3.327315,192.168.1.108,192.168.1.181,TCP,66,2869 > 34161 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50678 TSecr=353568672
129,3.327477,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
130,3.329904,192.168.1.181,192.168.1.108,TCP,66,34161 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568672 TSecr=50678
131,3.329951,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34161 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50678 TSecr=353568672"
132,3.346221,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
133,3.34723,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/lhnzgxtbdf HTTP/1.1 
134,3.3473,192.168.1.108,192.168.1.181,TCP,66,2869 > 34162 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50680 TSecr=353568674
135,3.347399,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
136,3.349661,192.168.1.181,192.168.1.108,TCP,66,34162 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568674 TSecr=50680
137,3.349715,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34162 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50680 TSecr=353568674"
138,3.362443,192.168.1.181,192.168.1.108,TCP,66,34161 > 2869 [ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568676 TSecr=50678
139,3.364783,192.168.1.181,192.168.1.108,TCP,66,"34161 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568676 TSecr=50678"
140,3.36484,192.168.1.108,192.168.1.181,TCP,66,2869 > 34161 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50682 TSecr=353568676
141,3.370505,192.168.1.181,192.168.1.108,TCP,74,34163 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568676 TSecr=0 WS=2
142,3.370672,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34163 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50682 TSecr=353568676"
143,3.372752,192.168.1.181,192.168.1.108,TCP,66,34163 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568677 TSecr=50682
144,3.382974,192.168.1.181,192.168.1.108,TCP,66,34162 > 2869 [ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568678 TSecr=50680
145,3.38564,192.168.1.181,192.168.1.108,TCP,66,"34162 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568678 TSecr=50680"
