No.,Time,Source,Destination,Protocol,Length,Info
173,3.493253,192.168.1.108,192.168.1.181,TCP,66,2869 > 34165 [ACK] Seq=1 Ack=1696 Win=66560 Len=0 TSval=50694 TSecr=353568686
174,3.493473,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
175,3.495869,192.168.1.181,192.168.1.108,TCP,66,34165 > 2869 [ACK] Seq=1696 Ack=126 Win=14600 Len=0 TSval=353568689 TSecr=50694
176,3.495932,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34165 [FIN, ACK] Seq=126 Ack=1696 Win=66560 Len=0 TSval=50695 TSecr=353568689"
177,3.49983,192.168.1.181,192.168.1.108,TCP,66,"34165 > 2869 [FIN, ACK] Seq=1696 Ack=127 Win=14600 Len=0 TSval=353568689 TSecr=50695"
178,3.499897,192.168.1.108,192.168.1.181,TCP,66,2869 > 34165 [ACK] Seq=127 Ack=1697 Win=66560 Len=0 TSval=50695 TSecr=353568689
179,3.512856,192.168.1.181,192.168.1.108,TCP,74,34166 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568691 TSecr=0 WS=2
180,3.513004,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34166 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50696 TSecr=353568691"
181,3.514798,192.168.1.181,192.168.1.108,TCP,66,34166 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568691 TSecr=50696
182,3.520571,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
183,3.521977,192.168.1.181,192.168.1.108,HTTP/XML,313,NOTIFY /upnp/eventing/edabcquqlg HTTP/1.1 
