"No.","Time","Source","Destination","Protocol","Length","Info"
"254","0.309826","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"255","0.310012","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=134321 Win=46720 Len=0"
"256","0.311635","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"257","0.313919","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"258","0.314112","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=137241 Win=45990 Len=0"
"259","0.316681","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"260","0.317905","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"261","0.317971","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=140161 Win=45260 Len=0"
"262","0.320830","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"263","0.323666","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"264","0.323767","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=143081 Win=44530 Len=0"
"265","0.325119","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"266","0.327569","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"267","0.329957","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"268","0.330051","192.168.10.26","108.160.173.162","TCP","54","51071 > 443 [ACK] Seq=1 Ack=20441 Win=16560 Len=0"
"269","0.336737","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"270","0.339628","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"271","0.339723","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=27741 Win=16560 Len=0"
"272","0.340019","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"273","0.340237","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"274","0.340347","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=30661 Win=16560 Len=0"
"275","0.341895","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"276","0.343819","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"277","0.343892","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=146001 Win=43800 Len=0"
"278","0.346833","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"279","0.347810","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"280","0.347866","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=148921 Win=43435 Len=0"
"281","0.351581","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"282","0.353627","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"283","0.353818","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=151841 Win=45990 Len=0"
"284","0.355086","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"285","0.357645","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"286","0.357840","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=154761 Win=45260 Len=0"
"287","0.360771","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"288","0.362079","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"289","0.362151","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=157681 Win=44895 Len=0"
"290","0.364889","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"291","0.367640","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"292","0.367814","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=33581 Win=16560 Len=0"
"293","0.369836","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"294","0.371646","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"295","0.371747","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=160601 Win=44165 Len=0"
"296","0.374174","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"297","0.375579","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"298","0.375651","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=163521 Win=43435 Len=0"
"299","0.378687","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"300","0.380542","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"301","0.380623","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=166441 Win=43070 Len=0"
"302","0.382650","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"303","0.382696","192.168.10.26","108.160.173.162","TCP","54","51072 > 443 [ACK] Seq=1 Ack=23361 Win=16560 Len=0"
"304","0.384643","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"305","0.388112","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"306","0.388242","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=169361 Win=42340 Len=0"
"307","0.390645","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"308","0.392341","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"309","0.392422","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=172281 Win=41975 Len=0"
"310","0.393922","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"311","0.400015","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"312","0.400141","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=175201 Win=41245 Len=0"
"313","0.400372","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"314","0.400802","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"315","0.400839","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=178121 Win=41245 Len=0"
"316","0.404102","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"317","0.405931","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"318","0.405972","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=181041 Win=48545 Len=0"
"319","0.408184","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"320","0.410534","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"321","0.410603","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=183961 Win=47815 Len=0"
